# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786800696983,1514.0,52.0,92.0,,51.0,,44.705882352941174,,24.0,11.62,63.0,-4.6875,,11.8,4,CLOSED LOOP
1786800698791,1553.0,53.0,92.0,,51.0,,44.705882352941174,,24.0,11.7,61.0,-4.6875,,11.7,4,CLOSED LOOP
1786800699808,1584.0,55.0,92.0,,51.0,,44.705882352941174,,24.0,9.42,61.0,-4.6875,,11.7,4,CLOSED LOOP
1786800701647,1546.0,55.0,91.0,,51.0,,44.705882352941174,,24.0,9.28,,-4.6875,,11.8,4,CLOSED LOOP
1786800703491,1566.0,,91.0,,50.0,,44.705882352941174,,24.0,9.08,,-4.6875,,11.8,,CLOSED LOOP
1786800705382,1589.0,57.0,91.0,,50.0,,44.705882352941174,,24.0,9.42,66.0,-6.25,,11.8,4,CLOSED LOOP
1786800706549,1426.0,57.0,91.0,,50.0,,44.705882352941174,,24.0,8.13,66.0,-7.8125,,11.8,4,CLOSED LOOP
1786800707736,1319.0,57.0,91.0,,50.0,,44.705882352941174,,24.0,8.54,72.0,-7.8125,,11.8,4,CLOSED LOOP
1786800708834,1263.0,57.0,91.0,,50.0,,44.705882352941174,,24.0,6.05,52.0,-7.8125,,11.8,5,CLOSED LOOP
1786800709958,903.0,57.0,91.0,,50.0,,44.705882352941174,,24.0,3.05,26.0,0.0,,11.8,5,CLOSED LOOP
1786800710967,1054.0,56.0,91.0,,,,44.705882352941174,,24.0,3.39,25.0,-2.34375,,11.8,5,CLOSED LOOP
1786800712862,1043.0,55.0,91.0,,,,44.705882352941174,,24.0,3.2,26.0,-4.6875,,11.8,5,CLOSED LOOP
1786800714500,1036.0,54.0,91.0,,,,44.705882352941174,,24.0,3.23,29.0,-4.6875,,11.8,5,CLOSED LOOP
1786800715538,1194.0,53.0,91.0,,,,44.705882352941174,,24.0,7.89,47.0,3.125,,11.8,5,CLOSED LOOP
1786800717132,1815.0,53.0,91.0,,,,44.705882352941174,,24.0,14.05,66.0,-2.34375,,11.8,3,CLOSED LOOP
1786800718696,1503.0,,91.0,,,,44.705882352941174,,24.0,3.14,66.0,0.0,,11.8,,CLOSED LOOP
1786800720262,1503.0,54.0,90.0,,,,44.705882352941174,,24.0,5.08,,0.0,,11.9,4,CLOSED LOOP
1786800721782,1569.0,53.0,90.0,,,,44.705882352941174,,24.0,7.59,,0.0,,11.9,4,CLOSED LOOP
1786800723685,1532.0,54.0,90.0,,,,44.705882352941174,,24.0,9.7,74.0,-7.8125,,11.8,4,CLOSED LOOP
1786800725096,1511.0,55.0,90.0,,,,44.705882352941174,,24.0,11.29,74.0,-8.59375,,11.8,4,CLOSED LOOP
1786800726430,1480.0,55.0,90.0,,,,44.705882352941174,,24.0,4.16,,0.0,,11.8,4,CLOSED LOOP
1786800727858,978.0,,90.0,,,,44.705882352941174,,24.0,3.23,,0.0,,11.9,,CLOSED LOOP
1786800729458,1503.0,51.0,90.0,,,,44.705882352941174,,24.0,4.83,,0.78125,,11.8,4,CLOSED LOOP
1786800730716,1554.0,51.0,90.0,,,,44.705882352941174,,24.0,3.2,,-3.125,,11.8,4,CLOSED LOOP
1786800731937,980.0,50.0,90.0,,,,44.705882352941174,,24.0,3.32,,0.0,,11.9,5,CLOSED LOOP
1786800733453,1201.0,49.0,90.0,,,,44.705882352941174,,24.0,3.32,,-2.34375,,11.9,4,CLOSED LOOP
1786800734851,1357.0,48.0,88.0,,,,44.705882352941174,,24.0,3.39,,-1.5625,,11.8,4,CLOSED LOOP
1786800736262,1410.0,47.0,88.0,,,,44.705882352941174,,24.0,7.05,,-3.90625,,11.8,4,CLOSED LOOP
1786800737806,1619.0,47.0,88.0,,,,44.705882352941174,,24.0,11.29,,-4.6875,,11.8,3,CLOSED LOOP
1786800738905,1561.0,,88.0,,,,44.705882352941174,,24.0,12.61,,-7.03125,,11.8,,CLOSED LOOP
1786800740101,1649.0,,88.0,,,,44.705882352941174,,24.0,12.7,,4.6875,,11.8,,CLOSED LOOP
1786800741291,1570.0,52.0,88.0,,,,44.705882352941174,,24.0,13.54,,-5.46875,,11.8,4,CLOSED LOOP
1786800742390,1451.0,52.0,88.0,,,,44.705882352941174,,24.0,7.11,,-9.375,,11.8,4,CLOSED LOOP
1786800743440,1453.0,52.0,88.0,,,,44.705882352941174,,24.0,6.87,,-4.6875,,11.8,4,CLOSED LOOP
