# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1784900310493,ELM,ELM Connected (ELM327 (Bluetooth))
1784900321633,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900331038,ZONE,stft WARN → GOOD (NORMAL)
1784900334098,ZONE,stft GOOD → ELEVATED (LEAN)
1784900339272,ZONE,stft ELEVATED → GOOD (NORMAL)
1784900471344,ZONE,maf CRITICAL → WARN (LOW IDLE)
1784900479969,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900487774,TRIP,Trip Start
1784900487774,ZONE,maf CRITICAL → WARN (LOW)
1784900491081,GEAR,Estimated gear 1 → 2
1784900496823,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1784900498856,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784900498857,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900500867,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900502715,ZONE,stft WARN → GOOD (NORMAL)
1784900502715,ZONE,maf CRITICAL → WARN (LOW)
1784900505392,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900507124,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900508522,ZONE,maf CRITICAL → WARN (LOW)
1784900509780,ZONE,stft WARN → GOOD (NORMAL)
1784900513672,GEAR,Estimated gear 2 → 1
1784900517597,ZONE,map GOOD → WARN (RISING)
1784900519171,GEAR,Estimated gear 1 → 2
1784900519171,ZONE,map WARN → GOOD (CRUISE OK)
1784900520432,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900521839,ZONE,stft WARN → GOOD (NORMAL)
1784900540558,GEAR,Estimated gear 2 → 3
1784900540558,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900541984,GEAR,Estimated gear 3 → 2
1784900541984,ZONE,stft WARN → GOOD (NORMAL)
1784900543629,GEAR,Estimated gear 2 → 3
1784900544957,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900546453,ZONE,coolant COLD → GOOD (NORMAL)
1784900548027,ZONE,stft WARN → GOOD (NORMAL)
1784900552039,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900552039,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900554099,ZONE,maf CRITICAL → WARN (LOW)
1784900555874,ZONE,stft WARN → GOOD (NORMAL)
1784900559999,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900561298,ZONE,maf CRITICAL → WARN (LOW)
1784900564600,GEAR,Estimated gear 3 → 2
1784900564600,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900566694,GEAR,Estimated gear 2 → 1
1784900566694,ZONE,maf CRITICAL → WARN (LOW)
1784900569216,ZONE,maf WARN → CRITICAL (VERY LOW)

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1784900544956,1142.0,25.0,69.0,,35.0,,41.1764705882353,14.901960784313726,21.0,4.04,34.0,-6.25,,,3,CLOSED LOOP
1784900546451,989.0,25.0,70.0,,35.0,,52.549019607843135,16.862745098039216,21.0,6.81,46.0,-6.25,,,3,CLOSED LOOP
1784900548026,1175.0,25.0,70.0,,35.0,,63.529411764705884,16.862745098039216,22.5,7.71,52.0,-0.78125,,,3,CLOSED LOOP
1784900549991,1100.0,26.0,70.0,,35.0,,61.96078431372549,16.862745098039216,22.5,7.59,54.0,-1.5625,,,3,CLOSED LOOP
1784900552037,1070.0,26.0,70.0,,35.0,,38.431372549019606,14.901960784313726,6.5,3.89,38.0,-7.8125,,,3,CLOSED LOOP
1784900554098,831.0,24.0,71.0,,35.0,,42.745098039215684,14.901960784313726,6.0,4.08,40.0,-6.25,,,3,CLOSED LOOP
1784900555873,820.0,20.0,71.0,,35.0,,42.745098039215684,14.901960784313726,6.0,4.08,40.0,-4.6875,,,3,CLOSED LOOP
1784900557230,820.0,19.0,71.0,,35.0,,42.745098039215684,14.901960784313726,6.0,4.04,40.0,-4.6875,,,3,CLOSED LOOP
1784900558640,820.0,18.0,71.0,,35.0,,42.745098039215684,14.901960784313726,6.0,4.04,41.0,-4.6875,,,3,CLOSED LOOP
1784900559994,781.0,18.0,71.0,,35.0,,43.13725490196079,14.901960784313726,6.0,3.82,41.0,-4.6875,,,3,CLOSED LOOP
1784900561296,758.0,18.0,71.0,,35.0,,43.13725490196079,14.901960784313726,6.5,4.08,41.0,-4.6875,,,3,CLOSED LOOP
1784900562643,738.0,18.0,71.0,,35.0,,42.35294117647059,14.901960784313726,10.5,4.12,46.0,-4.6875,,,3,CLOSED LOOP
1784900564597,738.0,10.0,71.0,,36.0,,44.705882352941174,14.901960784313726,10.5,3.78,45.0,-3.90625,,,2,CLOSED LOOP
1784900566693,732.0,8.0,71.0,,36.0,,36.470588235294116,15.294117647058824,12.0,4.47,37.0,2.34375,,,1,CLOSED LOOP
1784900569214,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900587991,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900614979,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900642287,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900672012,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900700179,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900729898,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900756790,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900784972,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900807235,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900828048,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900845805,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900863570,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP
1784900882770,848.0,7.0,72.0,,36.0,,43.13725490196079,14.901960784313726,6.5,3.86,46.0,-3.90625,,,1,CLOSED LOOP

# dash_tiles
time_ms,tab,key,value
1784900310147,Dash,RPM,3370.0
1784900310147,Dash,Speed,112.0
1784900310147,Dash,Gear,4
1784900310147,Dash,GearSource,ESTIMATED
1784900310147,Dash,Coolant1,56.0
1784900310147,Dash,Coolant2,n/s
1784900310147,Dash,Battery,14.15832783482465
